GEO_TYPE,GEO_ID,GEO_LABEL,GEO_DISPLAY_NAME,,Latino ,White ,Black ,Native American ,Asian or Pacific Islander ,Other Race ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005018500,"Census Tract 185, Bronx County, New York",,0,55.76137,1.334786,40.8608,0,0,2.04304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005018900,"Census Tract 189, Bronx County, New York",,0,71.81707,2.939024,25.14634,0.097561,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005019300,"Census Tract 193, Bronx County, New York",,0,63.31507,0.229723,35.96042,0.300406,0.194381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005019400,"Census Tract 194, Bronx County, New York",,0,60.11116,19.45276,14.79265,0,1.838392,3.805045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005019500,"Census Tract 195, Bronx County, New York",,0,70.30287,0.97829,27.08389,0,0.21442,1.420531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005019700,"Census Tract 197, Bronx County, New York",,0,70.87564,0.721118,20.25018,0,5.22443,2.928624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005019900,"Census Tract 199, Bronx County, New York",,0,70.17523,1.941748,26.11887,0,0,1.764149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020000,"Census Tract 200, Bronx County, New York",,0,61.60808,2.56788,3.220375,0,30.81457,1.789097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020100,"Census Tract 201, Bronx County, New York",,0,67.11919,3.543488,28.73907,0,0.598251,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tract,36005020200,"Census Tract 202, Bronx County, New York",,0,60.07293,8.568824,15.31449,0,14.03829,2.005469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
